timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
57550194,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58557821,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59566204,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60575235,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61584212,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62590633,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63595181,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64600391,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65610750,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66619224,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67624208,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68625344,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69630392,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70641218,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71646927,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72649189,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73657344,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74662980,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75673384,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76677191,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77679172,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78684185,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79684972,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80685222,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81687197,3080239,2162703,3080239,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82404232,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82460215,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
82471185,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83478197,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84482245,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85484222,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86491173,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87499166,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
88504195,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89504797,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90510540,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91515217,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
92517928,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93526187,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
94533225,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
95535169,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
96537183,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97540973,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98543238,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99550020,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100550194,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
101551216,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102553154,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
103557179,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
104562207,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105510405,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
106511176,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
107521446,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
108525152,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
109528352,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110534439,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
111539764,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
111974829,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112983191,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
113983768,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
114991339,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
115993184,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
117001188,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
118002400,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
119005345,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120009139,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
121020189,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122028543,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
123038197,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
124039213,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
125045934,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
126055164,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
127059602,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128064183,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
129077331,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130081143,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131089182,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
132094199,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
133094579,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
134097177,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
135108349,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
136114240,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
137125216,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
138126585,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
139135027,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
140140368,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141148225,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
142151222,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
143161131,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
144168223,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
145171105,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
146173147,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
147177187,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
148178198,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
149181327,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
150182316,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
151191174,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
151782596,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152786197,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
153788318,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
154790210,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
155797136,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
156806646,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157815171,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
158825899,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
159827901,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160833137,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
161835213,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162837133,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163837854,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
164846549,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
165854191,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
166862186,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
167872194,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
168882191,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169887413,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170894332,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171902401,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172903387,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173908236,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
174909113,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
175915507,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
176925452,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
177928257,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
178930192,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
179935454,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
180942611,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
181945001,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
182947176,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
183267348,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184271193,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
185275190,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
186283918,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187293429,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
188298554,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189307242,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
190310431,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191321137,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191728437,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191761145,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192769178,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
193772647,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
194782421,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
195793228,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
196800531,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
197805922,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
198806237,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
199812189,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200813138,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
201821215,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202826432,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
203835232,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
204836946,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
205838587,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
206842604,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
207852576,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
208852834,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
209862546,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
210865134,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
211871182,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
212881244,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
213891172,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
214894662,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
215897391,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
216898741,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
217906192,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
218912434,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
219919180,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
220922209,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
221922733,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
222925794,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
223927218,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
224938194,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
225942361,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226953139,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
227963434,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
228965189,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
229967181,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
230971174,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
231977219,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
232986649,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
233997140,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
234999212,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
236000037,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
237005886,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
238010187,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
239012264,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
240017135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
241017226,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
242026423,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
243037393,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
244041135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
245051098,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
246052384,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
247058726,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
248063171,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249063354,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
250066190,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
251070671,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
252078613,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
253084214,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
254093135,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
255098155,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
255846323,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
256853640,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
257724234,3080239,2162703,3080239,5,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
